date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2021-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11378.948555076948,11378.948555076948,11378.94855507695,11378.948555076946,11378.948555076946,11378.948555076951,11378.948555076946,11378.948555076946,11378.948555076946,11378.948555076946,11378.948555076946
2021-10-21,11378.94855507696,11378.948555076931,11378.94855507696,11378.948555076931,11378.94855507696,11378.94855507696,11378.948555076931,11378.94855507696,11378.948555076931,11378.94855507696,11378.948555076931,11378.94855507696,11378.94855507696,11378.94855507696,11378.948555076902,11378.94855507696,11378.94855507696,11378.94855507696,11378.948555076902,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.948555076902
2021-10-22,11378.94855507696,11378.94855507696,11378.94855507696,11378.948555076902,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.948555076902,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.948555076844,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696
2021-10-23,11378.948555076844,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.948555076844,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.948555076844,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696
2021-10-24,11378.94855507696,11378.94855507696,11378.94855507696,11378.948555076844,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.948555076728,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696
2021-10-25,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.948555076728,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696
2021-10-26,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.948555076728,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696
2021-10-27,11378.948555076728,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.948555076728,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696
2021-10-28,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.94855507696,11378.948555076497,11378.94855507696
